"","study_name","id","lambda.best","alpha.best","eta.best","delta.best"
"410","Vrecko2012","21",0.000324417,7.312951722,5.447917534,9.131751769
"411","Zeisberger2012","21",0.55387,0.85109,4.7992,0.64342
"412","Pahlke2012","210",67394.228134406,0.968583675059845,0.955062371873084,0.568376390873933
"413","Vrecko2012","210",0.52265,0.87618,1.9544,0.78334
"414","Pahlke2012","211",1.01623904622181,1.00456501316553,14.1618562381343,0.87377153560845
"415","Vrecko2012","211",0.95207,1.1131,2.7094,0.87807
"416","Pahlke2012","212",3.88588456787449,1.52846829590025,1.14177018066497,0.396466793524773
"417","Vrecko2012","212",0.028668,3.2332,9.2094,0.28482
"418","Pahlke2012","213",2.5750504045406,0.605306955242024,0.542929125794447,1.00006032365515
"419","Vrecko2012","213",1.382775105,0.982016805,2.088963231,1.009768868
"420","Vrecko2012","214",1.0394,0.69598,4.51,0.56496
"421","Vrecko2012","215",0.64473344,2.08742092,4.093830649,0.395722098
"422","Vrecko2012","216",0.055509,1.2834,1.8075,0.18921
"423","Pahlke2012","217",1.0996e+12,0.7398,1.1572,NA
"424","Vrecko2012","217",0.449996593,0.934514861,2.835976899,0.59017408
"425","Vrecko2012","218",0.53403,1.069,1.7621,0.58139
"426","Pahlke2012","219",1.6683470166276,1.38914337848158,1.13587276094099,0.403046034270769
"427","Vrecko2012","219",0.67922,1.1752,1.3878,0.86493
"428","Canessa2013","22",1.54598441764355,2.22056287222263,0.0957327090988558,NA
"429","Chib2014","22",0.4879,0.28213,25.599,NA
"430","Frydman2014","22",1.1931,1.2701,0.77467,NA
"431","Gloeckner2012","22",1.1485,1.2726,0.0097901,0.61537
"432","Kocher2011","22",3914400000,2.1514,0.42662,1.4825
"433","Lorains2014","22",4.508e+12,21.018,0.14891,NA
"434","Pighin2014","22",1.7895,0.0058041,2.82e+113,NA
"435","Rieskamp2008","22",0.3159,1.3225,0.074806,0.79896
"436","Sokol_Hessner2014","22",1.3162,0.7674,2.8101,NA
"437","Vrecko2012","22",4.116933684,0.844740349,5.71483245,0.699680784
"438","Zeisberger2012","22",0.60044,0.86034,5.7134,0.74463
"439","Vrecko2012","220",0.017007396,1.108266519,2.646444669,0.916047569
"440","Pahlke2012","221",1.8994e+13,0.93165,1.2315,NA
"441","Vrecko2012","221",0.37015,1.1836,3.9848,0.86257
"442","Pahlke2012","222",1,1,139760,NA
"443","Vrecko2012","222",0.495354993,0.907133287,6.669861591,0.869826377
"444","Vrecko2012","223",0.508374432,0.89367267,5.921773152,0.641043928
"445","Vrecko2012","224",0.462563861,1.081159417,5.051419312,0.829316881
"446","Pahlke2012","225",5.38622959180428,1.23028376879215,0.685022310461304,0.376002473474737
"447","Vrecko2012","225",1.1608,1.0199,3.6617,0.89972
"448","Vrecko2012","226",-4.6522e-17,1.3794,7.339,1.143
"449","Pahlke2012","227",1.48363577018868,0.986012832609487,2.76274468066219,0.941658372562133
"450","Vrecko2012","227",0.10792,2.0265,5.9507,0.33987
"451","Pahlke2012","228",1.991946062563,0.994292558151586,13.6677680193581,0.863745568006307
"452","Vrecko2012","228",0.75504,0.83773,0.86073,0.77539
"453","Vrecko2012","229",0.42881,0.90941,3.6002,0.66535
"454","Canessa2013","23",0.7231,2.432,0.12105,NA
